Id,Date,Topic,Text,Rank
1669807,2021-04-12,נאומים בני דקה,"תודה רבה, אדוני היושב-ראש. חודש טוב, חודש אייר – זה חודש אני ה' רופאך. אז בריאות איתנה לכל אזרחי ישראל. אני גם רוצה לברך, לרגל חודש הרמדאן, את כל אזרחי ישראל המוסלמים בברכת צום קל ומועיל. שיהיה לכולם, יהודים וערבים, חודש טוב, עלינו ועליכם. מאחל לכולנו שנפעל יחד למען עתיד טוב יותר לחברה הישראלית והערבית-הישראלית ולערכים של דו-קיום וכבוד הדדי. שמעתי את אדוני היושב-ראש מברך בערבית, אז ברשותך. (אומר דברים בשפה הערבית, להלן תרגומם: לרגל חודש הרמדאן המבורך אני רוצה לברך את כל התושבים המוסלמים בישראל במיטב הברכות והאיחולים, צום מקובל וארוחת שבירת צום טעימה. מי ייתן ויהיה זה חודש חסד וברכה עלינו ועליכם, נפעל יחדיו למען עתיד טוב יותר לחברה הישראלית והחברה הערבית ישראלית, ונשמור על ערכי הדו-קיום והכבוד ההדדי. אינשאללה.) תודה רבה, אדוני.",5
1676619,2021-06-21,"הצעת חוק סמכויות מיוחדות להתמודדות עם נגיף הקורונה החדש (הוראת שעה) (תיקון מס' 8) (הארכת תוקף), התשפ""א–2021",הוא כבר דיבר שלוש פעמים היום.,5
1677353,2021-06-28,הצהרת אמונים של חברי הממשלה,"אני, אביר קארה, בן יגאל ושרה, מתחייב לשמור אמונים למדינת ישראל ולחוקיה, למלא באמונה את תפקידי כסגן שר ולקיים את החלטות הכנסת.",5
1684492,2021-07-05,"צו האזרחות והכניסה לישראל (הוראת שעה) (הארכת תוקף החוק), התשפ""א–2021",– – – אתה לא מייצג את הציבור שלכם. להצביע נגד – – –,2
1684495,2021-07-05,"צו האזרחות והכניסה לישראל (הוראת שעה) (הארכת תוקף החוק), התשפ""א–2021","– – – של טיבי, אתה אומר לנו – – –",5
1685865,2021-07-05,"הצעת חוק לייעול האכיפה והפיקוח העירוניים ברשויות המקומיות (הוראת שעה) (תיקון מס' 6), התשפ""א–2021","מי שהפיל זה הם, הם הפילו – – – נגד ביטחון המדינה. תתביישו לכם.",1
1685905,2021-07-05,"הצעת חוק לייעול האכיפה והפיקוח העירוניים ברשויות המקומיות (הוראת שעה) (תיקון מס' 6), התשפ""א–2021",כמה פלסטינים הכנסתם היום – – –,5
1685908,2021-07-05,"הצעת חוק לייעול האכיפה והפיקוח העירוניים ברשויות המקומיות (הוראת שעה) (תיקון מס' 6), התשפ""א–2021",– – – לתוך השטח. אין לכם אידיאולוגיה. הכול פוליטיקה אצלך.,1
1685909,2021-07-05,"הצעת חוק לייעול האכיפה והפיקוח העירוניים ברשויות המקומיות (הוראת שעה) (תיקון מס' 6), התשפ""א–2021",אצלכם הכול פוליטיקה קטנה.,5
1685911,2021-07-05,"הצעת חוק לייעול האכיפה והפיקוח העירוניים ברשויות המקומיות (הוראת שעה) (תיקון מס' 6), התשפ""א–2021",זו רק פוליטיקה. תתביישו. אתה תתבייש.,2
