Id,Date,Topic,Text,Rank
656116,2000-02-29,נאומים בני דקה,"אדוני היושב-ראש, אתמול התקיימה פעולה קשה מאוד של צה""ל. בפעולה הזאת אפילו לא גירשו אנשים, ומה שעסקו בו הוא לקחת להם את השמיכות בלילות החורף הקרים, לקחת מהם לחם - ויש תמונות שמראות את הדברים האלה - לקחת שקי אורז ולשפוך אותם על הרצפה או להעמיס אותם לבסיס צבאי סגור. אני רוצה להגיד מפה לראש הממשלה, לשר הביטחון: יש דברים שלא עושים, פשוט לא עושים. הדבר הזה צריך להיפסק. האנשים האלה חייבים לחזור לבתיהם - 700 האיש שגורשו משם - בהקדם ומייד, וחייבים להחזיר להם את הדברים שעומדים לרשותם. אם צה""ל לא יכול לדאוג לזה, יואיל ויצא חד-צדדית מהמקום הזה ויעביר אותו לרשות הפלסטינית.",5
657741,2000-03-01,הצעות לסדר-היום: ההחלטה על הענקת פרס ישראל לשולמית אלוני,"אדוני היושב-ראש, שולמית אלוני קיבלה את הפרס לא משום שהיא היתה כך וכך שנים בכנסת - ויש גם דוגמאות לאחרים שקיבלו את הפרס הזה אף שהם היו חברי כנסת בעבר, ובצדק. שולמית אלוני - בניגוד למה שנאמר פה על-ידי כמה מחברי הכנסת הדתיים - לא פגעה בקודשי ישראל. אולי זה גם מה שמפריע להם, שהיא ידעה והבינה בנושאים האלה יותר מחבר כנסת ממוצע, ואולי גם יותר מרוב חברי הכנסת. שולמית אלוני קיבלה את פרס ישראל כי היא שינתה את החיים במדינת ישראל.",8
657742,2000-03-01,הצעות לסדר-היום: ההחלטה על הענקת פרס ישראל לשולמית אלוני,"הקמת המועצה לצרכנות, וזה היה עוד לפני שהיא היתה חברת כנסת, השפיעה על כל אזרח במדינת ישראל. השיח, זכויות האדם - אלה דברים שמשפיעים על כל אזרח במדינת ישראל. זו לא שאלה פוליטית. זכויות האשה זה נושא שאין בו עניין פוליטי, אלא הוא משפיע על כל אזרחי מדינת ישראל, ולטובה. לא פלא שארבע שנים לאחר שהאשה הזאת איננה עוד בכנסת יש כאלה שעדיין מתנגדים למה שהיא עשתה, כי זוכרים לה את כהונתה במשך כמה שנים בכנסת. אבל ההתנגדות שלהם היא התנגדות פוליטית.",6
658362,2000-03-07,נאומים בני דקה,"אדוני היושב-ראש, ההיסטריה הציבורית, לפחות מצד חלק מהציבור, שהתעוררה לאחר החלטת שר החינוך ומשרד החינוך לתקן במעט את תוכנית הלימודים בספרות, אני חושב שהיא מצביעה על בעיה קשה של החברה הישראלית, שחיה באטימות. היא לא מוכנה לשמוע מה קורה סביבה, לא מוכנה ללמוד ולראות מה חושבים עליה מבחוץ, מה חושבים אנשים - שבכלל ספק אם הם בחוץ, גרים כאן מאוד קרוב - על עצמם, איך הם רואים את התרבות, ומנסה להשלים פה את הסגירות. זאת בזמן שבצד השני, בצד הערבי, קוראים עלינו, לומדים עלינו, רבים יודעים את השפה העברית, צופים בכלי התקשורת שלנו. אני חושב שהדברים האלה רק מעידים על פחדנות ועל אופי חולה של החברה הישראלית, שמפחדת מהאחר, מפחדת מהשונה, מפחדת להתמודד עם תרבות אחרת.",6
659863,2000-03-08,הצעות לסדר-היום: החלטת הממשלה לצאת מלבנון,"אדוני היושב-ראש, חברות וחברי הכנסת, אני שמח מאוד שבפעם הראשונה שאני מדבר מעל הדוכן הזה אני יכול לברך את הממשלה על ההחלטה ההיסטורית שלה לצאת מלבנון. אני, מה לעשות, שייך לדור של לבנון. ההפגנה הראשונה של ""שלום עכשיו"" שהשתתפתי בה היתה בעקבות פרוץ מלחמת לבנון. ב-1985, כשיצאנו מלבנון, אני זוכר איך יצאנו מלבנון, ראינו בטלוויזיה את היציאה מלבנון, ולמחרת בבוקר כבר נכנסנו שוב, פיזית, ללבנון. בואו נודה כולנו כאן בפה מלא, שנכנסנו שוב ללבנון ב-1985 לא כדי להגן על יישובי הצפון - לא היתה בעיה עם יישובי הצפון - ואף לא כדי להגן על חיילי צה""ל, כמו שאומרים לפעמים בציניות. גם לחיילי צה""ל לא היתה בעיה בשלב הזה. נכנסנו משום שחיילי צד""ל לא היו יכולים להסתדר לבדם, ובעצם נכנסנו כדי להגן על חיילי צד""ל. רבותי חברי הכנסת, בשנת 1982 הבעיר שר הביטחון דאז, אריק שרון, אש גדולה באדמת לבנון. באש הזאת נשרפו למוות, פשוטו כמשמעו, אלפי לבנונים, אלפי לוחמים מכל הצדדים, ובהם גם מעל ל-1,000 חיילי צה""ל עד עצם היום הזה.",5
659865,2000-03-08,הצעות לסדר-היום: החלטת הממשלה לצאת מלבנון,"תן לי פעם אחרת, גדעון, לא היום. טוב שהחליטה הממשלה להוציא את צה""ל מהאש בלבנון. כשאתה נמצא בתוך אש, זה בכלל לא מעניין אם זה חד-צדדי או עם הסכם או מה בדיוק לעשות. קודם כול צריך לצאת מהאש בלבנון, וטוב שהחליטה הממשלה לעשות את זה. אבל כשבוערת אש וכשיש שרפה, הדבר הכי חשוב לעשות, מלבד היציאה שהיא הכי מהירה, זה גם לכבות אותה. את האש הלבנונית נוכל לכבות רק באמצעות המשא-ומתן עם סוריה. היציאה מלבנון, טוב שתהיה מלווה בהסכם שלום עם סוריה, וכמובן, תמורתו נצטרך לוותר - ואנחנו יודעים את זה בבית הזה, אנחנו צריכים להודות בזה - על כל רמת-הגולן ולחזור לגבולות 4 ביוני 1967. אני חושב, שכאשר יבצע צה""ל את הנסיגה מלבנון, נצטרך להיערך על הגבול הבין-לאומי, כדי שצה""ל יהפוך חזרה לצבא-הגנה לישראל. מי ייתן ולא יזדקק להגן לא על חיילי צה""ל ולא על יישובי הצפון, אבל אם יותקף, הוא יהפוך לצבא-הגנה לישראל. לסיום, בעיה מוסרית אחת שתיוותר לנו: נצטרך לדעת הפעם איך אנחנו מתמודדים בצורה אמיתית ונכונה עם בעיה שלא טיפלנו בה כשהתחלנו לצאת מהשטחים בגדה המערבית, וזו הבעיה של אנשי צד""ל. יש לנו חוב מוסרי לאנשים האלה, ומצד אחר, אנחנו לא יכולים לפתור את הבעיה הזאת בצורה שבה זה נעשה עם המשת""פים, שפגעה קשות בחלק מהכפרים הערביים בתוך מדינת ישראל. אני חושב שעתה זה הזמן שראש הממשלה והממשלה כולה צריכים להזדרז על מנת להפוך את ההחלטה ההיסטורית לגבי היציאה מלבנון למנוף להגברת הביטחון ליישובי הצפון - לא רק הוצאת צה""ל מלבנון, אלא גם הוצאת תושבי הצפון מהמקלטים - ולמנוף לחתימת הסכם שלום מלא עם סוריה ועם לבנון, ומי ייתן - עם שכנות אחרות שלנו בעתיד.",5
660181,2000-03-13,מסמכים שהונחו על שולחן הכנסת . שילוב שיריו של דרוויש במערכת החינוך; 2. שחרור האסיר שקולניק,"גברתי היושבת-ראש, רבותי חברי הכנסת, אולי כיוון שאני חדש פה, אני לפעמים מופתע מהמספר הרב כל כך של הצעות אי-אמון, שמוגשות אולי פורמלית על-ידי האופוזיציה, אבל למעשה הן מוגשות גם על-ידי הקואליציה, על דברים שאני חושב שהם ממש דברים של מה-בכך. לכן אני רוצה לפתוח את נאומי בקריאה לראש הממשלה לצרף לקואליציה שבע סיעות, שבהן 20 חברי כנסת. אני מתכוון לסיעות שינוי, רע""ם, חד""ש, עם אחד, מחר, בל""ד ותע""ל. אני מתכוון לחברי הכנסת טומי לפיד, אברהם פורז, יהודית נאות, יוסי פריצקי, מודי זנדברג, ויקטור בריילובסקי, טלב אלסאנע, עבד-אלמאלכ דהאמשה, מוחמד כנעאן, האשם מחאמיד, תאופיק חטיב, מוחמד ברכה, עסאם מח'ול, תמר גוז'נסקי, עמיר פרץ, חיים כץ, רומן ברונפמן, אלכסנדר צינקר, אחמד טיבי ועזמי בשארה. אני חושב, שממשלה כזאת תשקף הרבה יותר טוב את הציבור שהצביע לאהוד ברק. האנשים האלה מייצגים אנשים שהצביעו לאהוד ברק, ולכן לא יבואו הצעות מגוחכות כאלה מצד סיעות שהן קואליציה, אופוזיציה, שהם בעצמם לא מחליטים. מה בעצם רוצים מהממשלה הזאת? מגישים הצעות אי-אמון בגלל שירים? אני רוצה לאחל לכם שיהיו לכם סיבות טובות מאוד להגיש הצעות אי-אמון בממשלה הזאת, שהממשלה הזאת תגיע להסדר שלום עם הפלסטינים במחיר, כן, כואב, מחיר שאתם גם יודעים אותו, של פינוי התנחלויות, של הסדר בירושלים. יהיו לכם יופי של סיבות להגיש הצעות אי-אמון בממשלה הזאת. אני רוצה לאחל לכם שהממשלה הזאת תגיע לשלום עם סוריה ולבנון ויהיו לכם יופי של סיבות להגיש הצעות אי-אמון בממשלה, לא בגלל שירים. מי מפחד משלושה שירים?",6
660182,2000-03-13,מסמכים שהונחו על שולחן הכנסת . שילוב שיריו של דרוויש במערכת החינוך; 2. שחרור האסיר שקולניק,"חבר הכנסת שטייניץ, אני רוצה להגיד לך, דווקא אם מה שאתה אומר - - -",6
660184,2000-03-13,מסמכים שהונחו על שולחן הכנסת . שילוב שיריו של דרוויש במערכת החינוך; 2. שחרור האסיר שקולניק,"מחמוד דרוויש לא רק שהוא משורר פלסטיני ומשורר ערבי גדול, הוא קודם כול, לפחות בעיני, משורר ישראלי, או אם תרצה, משורר ישראלי-פלסטיני. הוא אזרח ישראלי, הוא נולד כאן, התרבות שלו הרבה יותר קרובה לתרבות - גם שלי, ואני מאמין גם שלך, מאשר הרבה דברים שנלמדים לבגרות. אבל דווקא אם מה שאתה אומר הוא נכון, דווקא אם הוא קורא ליהודים חמורים שצריך לסלק אותם מפה - אדרבה, בואו נלמד. הרי אתם תמיד אומרים שצריך ללמוד מה אומרים עלינו. אדרבה, בואו נלמד גם את הדברים הטובים וגם את הדברים הרעים. אני לא אומר שמחמוד דרוויש יצטרף לתנועה הציונית. בואו נלמד את כל הדברים, טובים ורעים, בואו נפקח את העיניים. אתם הייתם אלה שבמשך שנים, בשם אותם דברים, אותם רעיונות - למנוע מהעם בישראל לגלות את העולם - אסרתם עלינו, לדוגמה, לנהל משא-ומתן עם אש""ף. נו, לאן זה הוביל? גם נתניהו ישב ודיבר עם ערפאת. אותו דבר גם הילדים שלכם - -",6
660185,2000-03-13,מסמכים שהונחו על שולחן הכנסת . שילוב שיריו של דרוויש במערכת החינוך; 2. שחרור האסיר שקולניק,"- - והנכדים שלכם ילמדו ויקראו את השירים של מחמוד דרוויש ואחרים, והם אפילו יצחקו עליכם. תסלח לי שאני אומר לך את זה. הם פשוט יצחקו עליכם. אני רוצה להגיד גם כמה מלים, ברשות היושבת-ראש, על הנושא הכאוב של שחרור יורם שקולניק. אני חושב שכמעט לא צריך להוכיח את זה, ואני אפילו אתפלא אם יהיו הפעם קריאות ביניים מהצד הזה; אבל לפעמים הכול אפשרי. אין בישראל עדיין, במובן המלא של המלה, משפט צדק, משפט שווה ליהודי ולערבי. אנחנו יודעים את זה טוב מאוד גם אם ניתמם עד מחר. החוק זהה, השופטים זהים, המערכת זהה, התוצאות אינן זהות. אנחנו יודעים את זה. רצח הוא רצח הוא רצח, רוצח הוא רוצח הוא רוצח, אבל רוצח יהודי, בעיקר אם הוא רוצח ערבים, לא משלם את המחיר שמשלם רוצח ערבי, בעיקר אם הוא רוצח יהודים. ידועה המעשייה הישראלית על שלושה ישראלים שמגיעים לתא בכלא ישראלי, שניים יהודים ואחד ערבי, והם שואלים את היהודי הראשון: למה הגעת לכאן? הוא אומר: האשימו אותי באונס, אבל מה, היה לי מזל, גמרנו על הטרדה מינית. היה לי הרבה מזל וגמרתי בשנה בפנים. שואלים את היהודי השני: למה אתה פה? הוא אומר: אני רצחתי ערבי, אבל מה, היה לי הרבה מזל, גמרו אתי על הרג, קיבלתי שנתיים בפנים. שואלים את הערבי: למה אתה יושב פה? הוא אומר: מה, לי היה הרבה הרבה מזל. תפסו אותי נוהג בלי אורות, אבל היה לי מזל, זה היה ביום, קיבלתי שלוש שנים בפנים. גם אם ההלצה הזאת טיפה מוגזמת, וברור שהיא מוגזמת - - -",5
