id,FirstName,LastName,KnesstetSiteId,ImageUrl
-3,משה,פסל,1124,https://fs.knesset.gov.il/globaldocs/MK/1124/1_1124_3_20007.jpeg
-2,ירון,עמוס לוי,1127,https://fs.knesset.gov.il/globaldocs/MK/1127/1_1127_3_20229.png
405,בנימין,אלון,12,https://fs.knesset.gov.il/globaldocs/MK/12/1_12_3_36.jpeg
412,צבי,הנדל,46,https://fs.knesset.gov.il/globaldocs/MK/46/1_46_3_126.jpeg
417,רחבעם,זאבי,51,https://fs.knesset.gov.il/globaldocs/MK/51/1_51_3_141.jpeg
421,אליעזר,כהן,209,https://fs.knesset.gov.il/globaldocs/MK/209/1_209_3_525.jpeg
427,אביגדור,ליברמן,214,https://fs.knesset.gov.il/globaldocs/MK/214/1_214_3_548.jpeg
430,יורי,שטרן,121,https://fs.knesset.gov.il/globaldocs/MK/121/1_121_3_331.jpeg
431,קולט,אביטל,704,https://fs.knesset.gov.il/globaldocs/MK/704/1_704_3_1535.jpeg
432,אפי,אושעיה,6,https://fs.knesset.gov.il/globaldocs/MK/6/1_6_3_17.jpeg
433,דליה,איציק,8,https://fs.knesset.gov.il/globaldocs/MK/8/1_8_3_27.jpeg
434,אברהם,בורג,137,https://fs.knesset.gov.il/globaldocs/MK/137/1_137_3_366.jpeg
435,בנימין,בן-אליעזר,20,https://fs.knesset.gov.il/globaldocs/MK/20/1_20_3_59.jpeg
437,אלי,בן-מנחם,22,https://fs.knesset.gov.il/globaldocs/MK/22/1_22_3_64.jpeg
439,שלמה,בן-עמי,23,https://fs.knesset.gov.il/globaldocs/MK/23/1_23_3_66.jpeg
441,יעל,דיין,39,https://fs.knesset.gov.il/globaldocs/MK/39/1_39_3_104.jpeg
442,סאלח,טריף,59,https://fs.knesset.gov.il/globaldocs/MK/59/1_59_3_157.jpeg
444,אברהם,יחזקאל,62,https://fs.knesset.gov.il/globaldocs/MK/62/1_62_3_163.jpeg
445,איתן,כבל,64,https://fs.knesset.gov.il/globaldocs/MK/64/1_64_3_171.jpeg
446,רענן,כהן,67,https://fs.knesset.gov.il/globaldocs/MK/67/1_67_3_185.jpeg
447,יוסי,כץ,68,https://fs.knesset.gov.il/globaldocs/MK/68/1_68_3_187.jpeg
448,סופה,לנדבר,78,https://fs.knesset.gov.il/globaldocs/MK/78/1_78_3_218.jpeg
449,מיכאל,מלכיאור,220,https://fs.knesset.gov.il/globaldocs/MK/220/1_220_3_566.jpeg
453,נואף,מסאלחה,85,https://fs.knesset.gov.il/globaldocs/MK/85/1_85_3_235.jpeg
454,אפרים,סנה,94,https://fs.knesset.gov.il/globaldocs/MK/94/1_94_3_265.jpeg
455,אופיר,פינס-פז,100,https://fs.knesset.gov.il/globaldocs/MK/100/1_100_3_278.jpeg
456,שמעון,פרס,104,https://fs.knesset.gov.il/globaldocs/MK/104/1_104_3_288.jpeg
458,חיים,רמון,115,https://fs.knesset.gov.il/globaldocs/MK/115/1_115_3_317.jpeg
459,אברהם-בייגה,שוחט,117,https://fs.knesset.gov.il/globaldocs/MK/117/1_117_3_321.jpeg
460,ויצמן,שירי,205,https://fs.knesset.gov.il/globaldocs/MK/205/1_205_3_510.jpeg
461,שלום,שמחון,123,https://fs.knesset.gov.il/globaldocs/MK/123/1_123_3_338.jpeg
462,מיכאל,איתן,9,https://fs.knesset.gov.il/globaldocs/MK/9/1_9_3_30.jpeg
463,משה,ארנס,278,https://fs.knesset.gov.il/globaldocs/MK/278/1_278_3_688.jpeg
464,זאב,בוים,16,https://fs.knesset.gov.il/globaldocs/MK/16/1_16_3_50.jpeg
465,נעמי,בלומנטל,19,https://fs.knesset.gov.il/globaldocs/MK/19/1_19_3_56.jpeg
466,אברהם,הירשזון,42,https://fs.knesset.gov.il/globaldocs/MK/42/1_42_3_113.jpeg
467,צחי,הנגבי,45,https://fs.knesset.gov.il/globaldocs/MK/45/1_45_3_121.jpeg
468,ישראל,כץ,69,https://fs.knesset.gov.il/globaldocs/MK/69/1_69_3_191.jpeg
469,ציפי,לבני,213,https://fs.knesset.gov.il/globaldocs/MK/213/1_213_3_542.jpeg
470,לימור,לבנת,70,https://fs.knesset.gov.il/globaldocs/MK/70/1_70_3_197.jpeg
471,עוזי,לנדאו,77,https://fs.knesset.gov.il/globaldocs/MK/77/1_77_3_213.jpeg
472,יהושע,מצא,86,https://fs.knesset.gov.il/globaldocs/MK/86/1_86_3_237.jpeg
473,דני,נוה,223,https://fs.knesset.gov.il/globaldocs/MK/223/1_223_3_575.jpeg
474,גדעון,עזרא,96,https://fs.knesset.gov.il/globaldocs/MK/96/1_96_3_270.jpeg
475,איוב,קרא,230,https://fs.knesset.gov.il/globaldocs/MK/230/1_230_3_591.jpeg
476,ראובן,ריבלין,114,https://fs.knesset.gov.il/globaldocs/MK/114/1_114_3_314.jpeg
477,יובל,שטייניץ,695,https://fs.knesset.gov.il/globaldocs/MK/695/1_695_3_1514.jpeg
478,מאיר,שטרית,119,https://fs.knesset.gov.il/globaldocs/MK/119/1_119_3_326.jpeg
479,סילבן,שלום,122,https://fs.knesset.gov.il/globaldocs/MK/122/1_122_3_334.jpeg
482,אריאל,שרון,125,https://fs.knesset.gov.il/globaldocs/MK/125/1_125_3_342.jpeg
483,דוד,אזולאי,7,https://fs.knesset.gov.il/globaldocs/MK/7/1_7_3_21.jpeg
484,שלמה,בניזרי,25,https://fs.knesset.gov.il/globaldocs/MK/25/1_25_3_70.jpeg
485,יצחק,גאגולה,198,https://fs.knesset.gov.il/globaldocs/MK/198/1_198_3_485.jpeg
486,אריה,גמליאל,34,https://fs.knesset.gov.il/globaldocs/MK/34/1_34_3_89.jpeg
487,נסים,דהן,37,https://fs.knesset.gov.il/globaldocs/MK/37/1_37_3_100.jpeg
488,יצחק,וקנין,50,https://fs.knesset.gov.il/globaldocs/MK/50/1_50_3_136.jpeg
490,נסים,זאב,206,https://fs.knesset.gov.il/globaldocs/MK/206/1_206_3_513.jpeg
492,עופר,חוגי,207,https://fs.knesset.gov.il/globaldocs/MK/207/1_207_3_516.jpeg
493,דוד,טל,58,https://fs.knesset.gov.il/globaldocs/MK/58/1_58_3_155.jpeg
494,אליהו,ישי,63,https://fs.knesset.gov.il/globaldocs/MK/63/1_63_3_166.jpeg
495,אמנון,כהן,210,https://fs.knesset.gov.il/globaldocs/MK/210/1_210_3_528.jpeg
498,משולם,נהרי,222,https://fs.knesset.gov.il/globaldocs/MK/222/1_222_3_572.jpeg
499,יצחק,סבן,225,https://fs.knesset.gov.il/globaldocs/MK/225/1_225_3_579.jpeg
500,אליהו,סויסה,226,https://fs.knesset.gov.il/globaldocs/MK/226/1_226_3_581.jpeg
501,יאיר,פרץ,228,https://fs.knesset.gov.il/globaldocs/MK/228/1_228_3_585.jpeg
503,אילן,גילאון,200,https://fs.knesset.gov.il/globaldocs/MK/200/1_200_3_491.jpeg
504,זהבה,גלאון,201,https://fs.knesset.gov.il/globaldocs/MK/201/1_201_3_498.jpeg
505,אבשלום,וילן,203,https://fs.knesset.gov.il/globaldocs/MK/203/1_203_3_505.jpeg
506,נעמי,חזן,56,https://fs.knesset.gov.il/globaldocs/MK/56/1_56_3_151.jpeg
507,רן,כהן,66,https://fs.knesset.gov.il/globaldocs/MK/66/1_66_3_183.jpeg
509,ענת,מאור,80,https://fs.knesset.gov.il/globaldocs/MK/80/1_80_3_225.jpeg
510,אמנון,רובינשטיין,113,https://fs.knesset.gov.il/globaldocs/MK/113/1_113_3_311.jpeg
511,מוסי,רז,708,https://fs.knesset.gov.il/globaldocs/MK/708/1_708_3_1545.jpeg
512,יוסי,שריד,126,https://fs.knesset.gov.il/globaldocs/MK/126/1_126_3_344.jpeg
513,ויקטור,בריילובסקי,196,https://fs.knesset.gov.il/globaldocs/MK/196/1_196_3_479.jpeg
517,יוסף (טומי),לפיד,217,https://fs.knesset.gov.il/globaldocs/MK/217/1_217_3_560.jpeg
518,יהודית,נאות,221,https://fs.knesset.gov.il/globaldocs/MK/221/1_221_3_568.jpeg
519,אברהם,פורז,98,https://fs.knesset.gov.il/globaldocs/MK/98/1_98_3_274.jpeg
520,יוסף יצחק,פריצקי,227,https://fs.knesset.gov.il/globaldocs/MK/227/1_227_3_583.jpeg
521,זבולון,אורלב,194,https://fs.knesset.gov.il/globaldocs/MK/194/1_194_3_477.jpeg
522,יגאל,ביבי,17,https://fs.knesset.gov.il/globaldocs/MK/17/1_17_3_52.jpeg
523,חיים,דרוקמן,202,https://fs.knesset.gov.il/globaldocs/MK/202/1_202_3_503.jpeg
524,שאול,יהלום,61,https://fs.knesset.gov.il/globaldocs/MK/61/1_61_3_161.jpeg
525,נחום,לנגנטל,696,https://fs.knesset.gov.il/globaldocs/MK/696/1_696_3_1519.jpeg
526,משה,גפני,35,https://fs.knesset.gov.il/globaldocs/MK/35/1_35_3_93.jpeg
527,שמואל,הלפרט,43,https://fs.knesset.gov.il/globaldocs/MK/43/1_43_3_115.jpeg
528,יעקב,ליצמן,216,https://fs.knesset.gov.il/globaldocs/MK/216/1_216_3_555.jpeg
531,אברהם,רביץ,112,https://fs.knesset.gov.il/globaldocs/MK/112/1_112_3_309.jpeg
532,יולי יואל,אדלשטיין,1,https://fs.knesset.gov.il/globaldocs/MK/1/1_1_3_4.jpeg
533,מרינה,סולודקין,91,https://fs.knesset.gov.il/globaldocs/MK/91/1_91_3_254.jpeg
534,גנדי,ריגר,232,https://fs.knesset.gov.il/globaldocs/MK/232/1_232_3_598.jpeg
535,נתן,שרנסקי,127,https://fs.knesset.gov.il/globaldocs/MK/127/1_127_3_346.jpeg
536,דוד,לוי,72,https://fs.knesset.gov.il/globaldocs/MK/72/1_72_3_202.jpeg
537,מקסים,לוי,74,https://fs.knesset.gov.il/globaldocs/MK/74/1_74_3_206.jpeg
538,מרדכי,משעני,709,https://fs.knesset.gov.il/globaldocs/MK/709/1_709_3_1550.jpeg
539,דליה,רבין-פילוסוף,231,https://fs.knesset.gov.il/globaldocs/MK/231/1_231_3_596.jpeg
540,מוחמד,ברכה,197,https://fs.knesset.gov.il/globaldocs/MK/197/1_197_3_482.jpeg
541,תמר,גוז'נסקי,31,https://fs.knesset.gov.il/globaldocs/MK/31/1_31_3_83.jpeg
542,עסאם,מח'ול,218,https://fs.knesset.gov.il/globaldocs/MK/218/1_218_3_562.jpeg
543,יחיאל,לסרי,712,https://fs.knesset.gov.il/globaldocs/MK/712/1_712_3_1556.jpeg
544,דוד,מגן,82,https://fs.knesset.gov.il/globaldocs/MK/82/1_82_3_229.jpeg
545,רוני,מילוא,155,https://fs.knesset.gov.il/globaldocs/MK/155/1_155_3_400.jpeg
546,דן,מרידור,88,https://fs.knesset.gov.il/globaldocs/MK/88/1_88_3_242.jpeg
